dataset,rare_class,split_mode,seed,rare_train_size,split,n_total,n_rare,n_nonrare,rare_pct_in_split,train_labeled_rare,train_unlabeled_rare,train_labeled_rare_pct_of_train_rare
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.01,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.05,train,24282,315,23967,1.3,15,300,4.76
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.05,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.05,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.10,train,24282,315,23967,1.3,31,284,9.84
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.10,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,0.10,test,6353,65,6288,1.02,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,all,train,24282,315,23967,1.3,315,0,100.0
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,all,validation,9715,55,9660,0.57,,,
tabula_small_intestine,intestinal tuft cell,batch_heldout,44,all,test,6353,65,6288,1.02,,,
